ID_CLB;INTITULE_COMPLET;VALEUR;ETAT;STATUT_RECRUTEMENT;DATE_DEBUT_INCLUSION;DATE_FIN_INCLUSION;DATE_DEBUT_ETUDE;DATE_FIN_ETUDE;ROLE_CLB;DETAIL_ROLE_CLB
ET16000096;HYPOG-01 : Etude de phase III randomisée multicentrique comparant la radiothérapie hypofractionnée à la radiothérapie standard dans les cancers du sein avec indication d’irradiation ganglionnaire en termes de survenue de lymphœdème;NCT03127995;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET16000097;EPIC : Impact sur la survie d’une prise en charge palliative précoce dans les cancers du haut appareil digestif (pancréas, voies biliaires et gastriques) métastatiques traités par chimiothérapie;NCT02853474;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET16000100;Acsé-eSMART-CSET : Essai thérapeutique européen basé sur la stratification des anomalies moléculaires chez des patients présentant une tumeur réfractaire ou en rechute;NCT02813135;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET16000109;EXPRESS : Etude du degré d'altération génomique comme prédicteur des réponses exceptionnelles et inattendues aux thérapies ciblées chez des patients avec des tumeurs solides;NCT02701907;800;Archivée;2017-01-27 00:00:00.000;2021-05-06 00:00:00.000;2016-04-15 00:00:00.000;2019-04-15 00:00:00.000;O;
ET16000116;"AB-ORL : Etude de phase II visant à évaluer l'intérêt clinique d'une monothérapie par abemaciclib chez des patients atteints d'un cancer de la tête et du cou localement avancé ou métastatique après échec d'une thérapie à base de platine et de cetuximab ou anti-EGFR, et présentant une délétion homozygote du gène CDKN2A et/ou une amplification du gène CCND1 et/ ou du gène CDK6 ";NCT03356223;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET16000132;"RT-Immune: Essai Européen, multicentrique, randomisé, mené en ouvert de Phase II  visant à évaluer l’impact clinique et biologique d’un traitement par un anti-PD-L1 (atezolizumab) chez des patients atteints de sarcomes des tissus mous opérables et devant être traités par radiothérapie. ";NCT03474094;400;Ouverte aux inclusions;NULL;2020-12-31 00:00:00.000;NULL;NULL;O;
ET17000005;AFU GETUG 25- MEGACEP : Etude prospective de phase II d’évaluation d’une prise en charge multimodale des métastases ganglionnaires inguinales des carcinomes épidermoïdes du pénis par lymphadénectomie bilatérale et chimiothérapie TIP (paclitaxel, ifosfamide et cisplatine);NCT02817958;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET17000006;SABR-PDL1 : Etude de phase II visant à évaluer l’efficacité de l’anti PD-L1 atezolizumab (MDPL3280A) administré en combinaison avec la radiothérapie stéréotaxique chez des patients présentant des tumeurs métastatiques.;NCT02992912;420;Close aux inclusions;2017-05-05 00:00:00.000;NULL;2017-05-05 00:00:00.000;NULL;O;
ET17000008;BP29842 : Etude ouverte, multicentrique, d'escalade de dose de Phase Ia/Ib pour évaluer la tolérance, les pharmacocinétiques et l'activité thérapeutique du RO6874281, une immunocytokine consistant en un variant de l'interleukine 2 (IL-2v) ciblant les protéines alpha d'activation des fibroblastes, administré comme un agent seul (Part A) ou en combinaison avec le Trastuzumab (Part B) ou le Cetuximab (Part C) IMCORE;NCT02627274;600;Terminée;NULL;NULL;NULL;NULL;O;
ET17000011;CICAFIX : Etude monocentrique comparative randomisée évaluant en ouvert la satisfaction et la qualité de vie des patients utilisant le Cicaplast Baume B5 versus le Dexeryl pour la prise en charge des toxicités cutanées induites par des inhibiteurs des récepteurs du facteur de croissance épidermique (iEGFR) dans les carcinomes épidermoïdes de la tête et du cou, les cancers colorectaux ou les cancers du poumon.;NCT03421912;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET17000017;GALAHAD 64091742PCR2001 : Etude de phase II mesurant l'efficacité et le tolérance du Niraparib dans le cancer métastatique de la prostate résistant à la castration et présentant des altérations de la réparation de l'ADN;NCT02854436;600;Terminée;NULL;NULL;2017-04-11 00:00:00.000;NULL;O;
ET17000022;BALLAD - Prodige 33: Etude de phase III  visant à évaluer le bénéfice d’une chimiothérapie adjuvante dans l’adénocarcinome de l’intestin grêle;NCT02502370;400;Ouverte aux inclusions;2017-02-20 00:00:00.000;NULL;2017-02-20 00:00:00.000;NULL;O;
ET17000027;DREAM - EORTC 1527 : Evaluation des métastases hépatiques par imagerie par résonnance magnétique de diffusion dans le but d'améliorer la planification chirurgicale;NCT02781935;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET17000028;MetZolimOS : Cyclophosphamide et Méthotrexate à posologie métronomique en association avec l’acide Zolédronique et le Sirolimus chez les patients prétraités pour une tumeur solide avec localisations osseuses et un ostéosarcome localement avancé et/ou métastatique. Etude de phase Ib du Groupe Sarcome Français;NCT02517918;600;Terminée;NULL;NULL;2017-09-26 00:00:00.000;NULL;O;
ET17000046;UCGI 28 - PANIRINOX :   Etude de phase II comparant FOLFIRINOX + Panitumumab versus mFOLFOX6 +  Panitumumab dans les cancers colorectaux métastatiques chez des patients dont le statut B-RAF et RAS sauvage a été déterminé à partir de l'analyse de l'ADN tumoral;NCT02980510;420;Close aux inclusions;2018-12-13 00:00:00.000;NULL;2018-12-13 00:00:00.000;NULL;O;
ET17000057;Breastimmune02: Etude multicentrique, randomisée, en ouvert, de Phase II, visant à évaluer l’impact du Pegfilgrastim sur l’effet anti-tumoral et la cytotoxicité cellulaire anticorps-dépendante (ADCC) du trastuzumab chez des patientes atteintes de cancers du sein Her2+ opérables;NCT03571633;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET17000063;TRADH : Etude de phase 1 d’escalade de dose, monocentrique, évaluant la combinaison thérapeutique trametinib associé à l’ HDM201 chez des patients atteints d’un cancer colorectal à un stade avancé ou métastatique présentant une mutation de RAS/RAF et sans mutation du gène TP53;NCT03714958;420;Close aux inclusions;NULL;NULL;2018-11-16 00:00:00.000;NULL;O;
ET17000079;OSCAR PRODIGE 49 : Oxaliplatine Systémique ou en Chimiothérapie intra-Artérielle combiné au LV5FU2 et panitumumab en 1ière ligne de traitement des cancers colorectaux métastatiques limités au foie;NCT02885753;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET17000099;"TG4001.12 :Essai de phase Ib/II évaluant la combinaison de TG4001 et d'avelumab chez des patients atteints d'un cancer récurrent ou métastatique VPH-16 positif, et une cohorte d'expansion dans le carcinome épidermoïde de l'oro-pharynx  ";NCT03260023;420;Close aux inclusions;2017-10-09 00:00:00.000;NULL;2017-10-09 00:00:00.000;NULL;O;
ET17000122;GSK204653: Etude de phase I en ouvert d'escalade de dose visant à explorer l'innocuité, la pharmacocinétique, la pharmacodynamique et l'activité clinique de GSK3326595 chez des patients atteints de tumeurs solides et de lymphomes non hodgkiniens;NCT02783300;600;Terminée;2018-05-31 00:00:00.000;NULL;2018-05-24 00:00:00.000;2019-11-01 00:00:00.000;O;
ET17000124;CO40115: Etude gobale de phase Ib/II, multicenrtique, randomisée et en ouvert, visant à évaluer l'efficacité et la sécurité de plusieurs immunothérapies en traitement combiné chez des patientes atteintes d'un cancer du sein triple négatif métastatique_ ImCORE;NCT03424005;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET17000133;ARPEGE : analyse moléculaire intergravité de la radiosensibilité individuelle en oncologie pédiatrique dans l'inter région Grand Est;NCT02827552;800;Archivée;2018-10-16 00:00:00.000;NULL;2018-04-23 00:00:00.000;NULL;O;
ET17000140;AFU-GETUG 31-STEREO-RE-PRO_01 : Etude de phase I/II multicentrique évaluant l'efficacité d'une ré-irradiation stéréotaxique chez des patients présentant une récidive tumorale intra-prostatique après traitement par radiothérapie externe;NCT03438552;420;Close aux inclusions;2019-03-06 00:00:00.000;NULL;2018-11-21 00:00:00.000;NULL;O;
ET17000141;GETUG AFU 30- Radiothérapie adjuvante chez les patients atteints de cancer de la vessie à haut risque pathologique : essai randomisé multicentrique de phase II.;NCT03333356;420;Close aux inclusions;NULL;2023-12-31 00:00:00.000;2018-09-26 00:00:00.000;NULL;O;
ET17000146;"EORTC 1612 EBIN: Association du traitement ciblé (encorafénib et binimétinib) suivie d’une association d’immunothérapie (ipilimumab et nivolumab) par rapport à une association d’immunothérapie immédiate chez des patients atteints d’un mélanome non résécable ou métastatique avec mutation V600 BRAF : une étude de phase II randomisée menée par l’EORTC (EBIN)» ";NCT03235245;410;Suspendue aux inclusions;2019-06-03 00:00:00.000;NULL;NULL;NULL;O;
ET17000163;STEREO-OS : essai de phase III évaluant l'ajout d'une radiothérapie Stéréotaxique (SBRT) en complément du traitement standard chez les patients atteints d'une tumeur solide (cancer du sein , de la prostate et du poumon) avec 1 à 3 métastases osseuses;NCT03143322;420;Close aux inclusions;NULL;2022-01-23 00:00:00.000;2019-02-06 00:00:00.000;NULL;O;
ET17000189;"TG6002.02: Etude de Phase I/IIa évaluant TG6002 (VV TK-RR-FCU1) administré par perfusion intra-veineuse (IV) en association avec la flucytosine (5-FC) par voie orale chez des patients atteints de tumeurs gastro-intestinales (GI) avancées  ";NCT03724071;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET17000191;Lenvos 01: Etude de phase II, prospective, multicentrique évaluant l’efficacité du LENVatinib associé au denosumab dans le traitement des patients présentant un carcinome différencié de la thyroïde réfractaire à l’iode radioactif avec métastases OSseuses prédominantes;NCT03732495;400;Ouverte aux inclusions;2019-01-31 00:00:00.000;NULL;2019-01-31 00:00:00.000;NULL;O;
ET17000200;BFR ESS 01: Etude de phase II, randomisée comparative, prospective, multicentrique, évaluant l’impact clinique de l’interruption versus le maintien d’un traitement par inhibiteur de l’aromatase chez les patientes atteintes d’un sarcome du stroma endométrial de bas grade localement avancé ou métastatique.;NCT03624244;400;Ouverte aux inclusions;NULL;NULL;2018-10-02 00:00:00.000;NULL;O;
ET17000211;WO39613: Étude parapluie de phase Ib/II, multicentrique, randomisée et en ouvert, évaluant l'efficacité et la sécurité d'une immunothérapie en traitements combinés chez des patients atteints d'un carcinome urothélial localement avancé ou métastatique après l'échec d'une chimiothérapie contenant du platine (MORPHEUS-CUm);NCT03869190;410;Suspendue aux inclusions;NULL;2020-08-31 00:00:00.000;NULL;NULL;O;
ET18000011;"CLR_15_03  SPARC : Étude de phase 1/2 en deux parties visant à déterminer la sécurité d’emploi, la tolérance, la pharmacocinétique et l’activité de K0706, un nouvel inhibiteur de la tyrosine kinase (ITK), chez des sujets en bonne santé et chez des patients atteints de leucémie myéloïde chronique (LMC) ou de leucémie aiguë lymphoblastique porteurs du chromosome de Philadelphie (LAL Ph+) ";NCT02629692;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000014;"INDUCE-1 (GSK 204691) : Etude de phase I en ouvert, du GSK3359609 administré seul et en association avec des agents anticancéreux chez des patients atteints de tumeurs solides de stade avancé ";NCT02723955;600;Terminée;NULL;NULL;NULL;NULL;O;
ET18000023;FRAIL-IMMUNE: Etude de phase II, monobras, prospective, multicentrique évaluant l’efficacité et la tolérance de l’association du Durvalumab avec la Carboplatine et le Paclitaxel, en traitement de première ligne chez des patients porteurs d’un carcinome épidermoïde de la tête et du cou récurrent / métastatique non éligibles à la chimiothérapie standard.;NCT03723967;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000025;"MK3475-811: Etude de phase 3, randomisée, en double aveugle, comparant l'association Trastuzumab plus chimiothérapie avec soit du pembrolizumab soit du placebo, en première ligne de traitement chez des patients ayant un adénocarcinome gastrique ou de la jonction gastro-oesophagienne métastatique HER2 positif ";NCT03615326;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000029;DS8201-A-U204: Étude de phase 2, multicentrique, en ouvert, à 2 cohortes portant sur le trastuzumab déruxtécan (DS-8201a), un conjugué anticorps-médicament (CAM) anti-HER2 pour le traitement du cancer bronchique non à petites cellules (CBNPC) surexprimant le récepteur HER2 ou HER2-muté, non résécable et/ou métastatique.;NCT03505710;600;Terminée;NULL;NULL;NULL;NULL;O;
ET18000035;EREMISS: Efficacité du regorafenib comme traitement de maintenance chez des patients atteints de sarcomes des tissus mous non-adipocytaires ayant reçu 6 cycles de chimiothérapie à base de doxorubicine en 1ère ligne.;NCT03793361;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000044;TED14856: Etude de phase I/II évaluant la sécurité, l'efficacité, la pharmacocinétique et la pharmacodynamique du SAR439859, administré par voie orale en monothérapie puis en association avec le palbociclib chez des femmes post-ménopausées atteintes d'un cancer du sein avancé avec des récepteurs aux oestrogènes positifs;NCT03284957;600;Terminée;NULL;NULL;NULL;NULL;O;
ET18000069;"PIONeeR-BioMarkers (BM) Profiling: Immuno-oncologie de précision pour les patients atteints d'un cancer du poumon avancé non à petites cellules (CPNPC) traités par anti PD (L) 1 (PIONeeR) : Identification de biomarqueurs  ";NCT03493581;420;Close aux inclusions;2018-10-31 00:00:00.000;NULL;2018-10-31 00:00:00.000;NULL;O;
ET18000118;"CA209-8HW: Essai randomisé de phase IIIb évaluant le nivolumab seul, le nivolumab en combinaison avec l'ipilimumab, ou une chimiothérapie au choix de l'investigateur, chez des patients atteints d'un cancer colorectal métastatique avec une instabilité microsatellitaire (MSI-H) ou une déficience du système de réparation des mésappariements de l'ADN (dMMR) ";NCT04000803;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000126;nivoALCL: Etude de phase II de Nivolumab dans les ALCL ALK+ en rechute ou progressifs pour l’évaluation de la réponse chez les patients avec maladie progressive (Cohorte 1) ou comme traitement de consolidation chez les patients en rémission après rechute (Cohorte 2);NCT03703050;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000137;CAMN107A2408 ENESTOP: Étude de phase II, en ouvert, à un seul bras, de la rémission sans traitement après obtention d'une réponse moléculaire RM4,5 maintenue sous nilotinib chez des patients ayant une leucémie myéloïde chronique (LMC) en phase chronique (PC);NCT01698905;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000178;"ISA101b-HN-01-17:  Etude de phase II randomisée, en double aveugle, contrôlée contre placebo visant à comparer le cémiplimab à l'association cémiplimab plus ISA101b dans le traitement de patients atteints d'un cancer de l'oropharyunx (COP) HPV 16-positif et résistant au platine ";NCT03669718;600;Terminée;NULL;NULL;2020-03-11 00:00:00.000;NULL;O;
ET18000182;M14-239 LUMINOSITY: Etude de phase II, en ouvert, évaluant la sécurité et l'efficacité du Telisotuzumab vedotin (ABBV-399) chez des patients présentant un cancer du poumon non à petites cellules c-Met+, préalablement traités.;NCT03539536;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000185;LIBRETTO-001_LOXO-RET-17001: Essai de phase 1/2 portant sur LOXO-2952 administré par voie orale chez des patients atteints de tumeurs solides avancées, comprenant tumeurs solides exprimant le gène de fusion RET, cancer médullaire de la thyroïde et autres tumeurs présentant une activation du RET;NCT03157128;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000186;IDA53-FILOCLL09: Etude pilote de phase II, évaluant l'efficacité et la tolérance de l'association Ibrutinib et daratumumab chez les patients atteints de leucémie lymphoïde chronique en rechute ou réfractaire et avec dysfonction de p53;NCT03734198;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000193;EORTC -1745 –ETF-BCG APPALACHES: Étude de phase II portant sur le palbociclib comme traitement adjuvant alternatif à la chimiothérapie en cas de cancer du sein de stade précoce ER+/HER2-négatif à haut risque chez des patients âgés;NCT03609047;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000210;"PRODIGE 65 – GEMPAX : Etude de phase III randomisée évaluant gemcitabine plus paclitaxel versus gemcitabine seule après échec ou intolérance au FOLFIRINOX dans l’adénocarcinome pancréatique canalaire métastatique ";NCT03943667;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000214;"PALATINE: Thérapie intégrant le traitement loco-régional chez des patients atteints d'un cancer du sein de stade IV RE-positif, HER2-négatif de novo et recevant létrozole et palbociclib ";NCT03870919;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000220;PDC-LUNG-101: Etude de phase I/II, ouverte, d'escalade de dose, visant à évaluer la sécurité, la tolérabilité, l'immunogénicité et l'activité clinique préliminaire du vaccin thérapeutique anti-cancéreux, PDC*lung01, associé ou non à un traitement par anti-PD-1 chez des patients atteints d'un cancer du poumon non à petites cellules;NCT03970746;420;Close aux inclusions;2020-01-24 00:00:00.000;NULL;2020-01-24 00:00:00.000;NULL;O;
ET18000223;XL184-311 COSMIC: Etude de phase III, randomisée, en double aveugle, contrôlée par placebo, portant sur le cabozantinib (XL 184) chez des patients atteints d'un cancer de la thyroïde différencié réfractaire à l'iode radioactif ayant progressé après un traitement antérieur ciblant le VEGFR;NCT03690388;600;Terminée;NULL;NULL;NULL;NULL;O;
ET18000226;TPFmORL: Etude de phase II randomisée comparant une chimiothérapie d’induction associant le cisplatine, le 5-Fluorouracile et le docetaxel à doses adaptées (TPFm) ou à doses standard (TPF) chez des patients avec un cancer épidermoïde ORL localement avancé;NCT04356170;420;Close aux inclusions;NULL;NULL;2021-02-03 00:00:00.000;NULL;O;
ET18000227;ASTX029-01 : Etude de phase 1/2 évaluant la sécurité, la pharmacocinétique et l’activité de l’ASTX029 chez les sujets atteints de tumeurs solides avancées.;NCT03520075;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000231;CO 40939 : Etude de Phase Ib ouverte, multicentrique, évaluant la sécurité d'emploi, l'efficacité et la pharmacocinétique du RO6958688 en association avec l'Atezolizumab administré après un pré-traitement avec l'Obinutuzumab chez des patients présentant un adénocarcinome colo-rectal métastatique à microsatellites stables précédemment traité et avec une forte expression du CEACAM5.;NCT03866239;600;Terminée;NULL;2021-09-24 00:00:00.000;NULL;NULL;O;
ET18000237;RAMPART: Recherche plateforme de phase III, internationale randomisée, contrôlée, multicentrique, multi-bras et multi-étapes (MAMS) évaluant des traitements adjuvants chez des patients atteints d’un carcinome rénal (CCR) localisé réséqué ayant un risque élevé ou intermédiaire de rechute.;NCT03288532;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET18000242;ADP-0044-002 SPEARHEAD 1: Essai clinique en ouvert, à bras unique de phase II des lymphocytes T ADP-A2M4 SPEARTM chez des patients atteints de sarcome synovial avancé ou de liposarcome myxoïde/à cellules rondes (LSMCR);NCT04044768;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
